user_id,total_orders,returned_items,total_margin_reversal,total_process_cost,total_profit_erosion,avg_erosion_per_return
46358,3,5,660.2866983334079,69.0,729.2866983334079,145.85733966668158
73088,1,4,601.7242295798171,58.800000000000004,660.5242295798172,165.1310573949543
9592,1,2,560.5980267587628,31.200000000000003,591.7980267587628,295.8990133793814
73720,1,2,555.0820191548037,31.200000000000003,586.2820191548036,293.1410095774018
48158,2,2,545.7593480849877,29.4,575.1593480849878,287.5796740424939
7445,2,6,486.7591702095067,82.8,569.5591702095068,94.92652836825113
79918,1,2,534.5299971988425,29.4,563.9299971988424,281.9649985994212
9525,1,4,504.85902660048964,55.2,560.0590266004897,140.01475665012242
71151,1,2,528.1580009274185,27.599999999999998,555.7580009274184,277.8790004637092
34216,1,1,535.4789986275136,15.600000000000001,551.0789986275137,551.0789986275137
7008,1,1,533.6729983314872,15.600000000000001,549.2729983314872,549.2729983314872
51888,1,1,532.769998183474,15.600000000000001,548.369998183474,548.369998183474
82057,1,1,532.769998183474,13.799999999999999,546.5699981834739,546.5699981834739
33992,1,1,532.769998183474,13.799999999999999,546.5699981834739,546.5699981834739
35702,1,2,504.9778324553278,31.200000000000003,536.1778324553279,268.08891622766396
96886,1,1,507.4859990850091,13.799999999999999,521.285999085009,521.285999085009
66346,1,1,493.9409985467792,15.600000000000001,509.54099854677924,509.54099854677924
41676,1,1,493.9409985467792,15.600000000000001,509.54099854677924,509.54099854677924
29086,1,4,442.48479030321835,57.0,499.48479030321835,124.87119757580459
87346,1,1,483.1049984525888,15.600000000000001,498.7049984525888,498.7049984525888
46385,1,3,442.87199920612954,41.4,484.2719992061296,161.42399973537653
41895,2,5,409.8419955121912,63.599999999999994,473.44199551219117,94.68839910243824
2857,1,2,436.58650876755485,29.4,465.9865087675549,232.99325438377744
81807,1,4,402.10329011656637,55.2,457.3032901165664,114.3258225291416
25297,1,2,424.0960009992777,31.200000000000003,455.29600099927774,227.64800049963887
6068,1,1,439.04199785739183,15.600000000000001,454.64199785739186,454.64199785739186
89546,1,2,423.15965099923756,29.4,452.5596509992376,226.2798254996188
65729,1,1,430.7309999596327,13.799999999999999,444.5309999596327,444.5309999596327
38810,1,4,382.9840002488345,58.8,441.78400024883445,110.44600006220861
69837,1,1,419.9999989941716,15.600000000000001,435.59999899417164,435.59999899417164
62121,1,2,404.3220009813085,31.200000000000003,435.52200098130857,217.76100049065428
63702,1,4,372.7736786074393,55.2,427.97367860743935,106.99341965185984
68453,1,2,395.2110000997782,27.6,422.8110000997782,211.4055000498891
24163,1,1,398.2350005488843,15.600000000000001,413.8350005488843,413.8350005488843
91086,1,2,381.1730510083482,31.200000000000003,412.37305100834817,206.18652550417409
1065,1,1,394.73160626566,15.600000000000001,410.33160626566,410.33160626566
7368,1,2,378.88709775063546,31.200000000000003,410.08709775063545,205.04354887531773
90094,2,6,325.2874802315574,84.60000000000001,409.88748023155745,68.31458003859291
5596,1,1,392.9740007072687,15.600000000000001,408.57400070726874,408.57400070726874
12195,2,5,342.10226420628805,65.4,407.50226420628803,81.50045284125761
52678,1,3,353.6817199666488,43.2,396.88171996664886,132.29390665554962
99871,1,1,376.8750000745058,15.600000000000001,392.47500007450583,392.47500007450583
66557,1,4,331.5708001768634,58.800000000000004,390.3708001768633,97.59270004421583
66667,2,3,343.1236987932077,45.0,388.1236987932077,129.37456626440257
92059,1,4,332.00500165438,55.2,387.20500165438,96.801250413595
88941,2,4,325.33799273635475,60.6,385.9379927363548,96.4844981840887
83629,3,5,318.55317953539236,67.2,385.7531795353924,77.15063590707848
14031,1,1,370.09000081568956,13.799999999999999,383.8900008156896,383.8900008156896
81089,1,4,326.4729994511293,57.0,383.4729994511293,95.86824986278232
9058,1,3,337.7317571040765,43.2,380.9317571040765,126.9772523680255
88337,1,4,318.1950138431674,60.6,378.79501384316734,94.69875346079183
37332,1,1,365.71499859999994,12.0,377.71499859999994,377.71499859999994
71181,2,5,298.7981791307423,74.4,373.1981791307423,74.63963582614846
991,1,2,340.72634873184705,31.200000000000003,371.92634873184704,185.96317436592352
84640,1,1,355.0920009166002,15.600000000000001,370.69200091660025,370.69200091660025
80059,2,6,285.7014778356072,84.60000000000001,370.3014778356072,61.7169129726012
31697,1,4,312.4662002585618,57.0,369.4662002585618,92.36655006464045
13457,1,2,340.17395012023223,27.6,367.77395012023226,183.88697506011613
19958,2,5,290.9322733958248,74.4,365.33227339582476,73.06645467916495
40641,2,6,285.2130286982299,79.19999999999999,364.4130286982299,60.735504783038316
19809,1,4,302.624558531011,60.6,363.22455853101104,90.80613963275276
48130,1,4,303.82191871049434,58.8,362.62191871049436,90.65547967762359
53600,2,8,246.62874096458995,115.8,362.42874096458996,45.303592620573745
82864,1,1,348.03600135445595,13.799999999999999,361.83600135445596,361.83600135445596
29318,1,4,304.42993077410136,55.2,359.62993077410135,89.90748269352534
47474,1,4,301.82073362445874,57.0,358.82073362445874,89.70518340611468
51686,1,4,299.7400579566719,58.800000000000004,358.54005795667183,89.63501448916796
73421,1,4,303.16200051794203,55.2,358.362000517942,89.5905001294855
78281,1,3,309.786500315501,46.800000000000004,356.586500315501,118.86216677183366
90994,1,4,290.4899802314383,58.8,349.28998023143834,87.32249505785958
27761,1,4,289.8116466857181,58.800000000000004,348.61164668571803,87.15291167142951
6468,1,1,331.7749997600913,15.600000000000001,347.3749997600913,347.3749997600913
25159,2,5,272.90855798398644,72.60000000000001,345.5085579839864,69.10171159679729
46187,1,2,314.26392787587616,31.200000000000003,345.46392787587615,172.73196393793808
6974,1,3,302.1919985162088,43.2,345.3919985162088,115.1306661720696
60466,2,4,289.0695223759802,55.2,344.26952237598016,86.06738059399504
40005,1,4,282.2663989519592,60.6,342.86639895195924,85.71659973798981
61138,3,6,259.64330154475834,82.8,342.4433015447583,57.07388359079305
36577,1,4,289.5973788616676,51.6,341.19737886166763,85.29934471541691
70052,1,1,325.21499890834093,15.600000000000001,340.81499890834095,340.81499890834095
40843,2,3,293.7054994082346,46.800000000000004,340.5054994082345,113.50183313607818
59143,3,6,249.14289905409646,88.2,337.34289905409645,56.223816509016075
48294,1,3,291.660499679856,43.2,334.860499679856,111.620166559952
29194,2,3,287.455000590533,46.800000000000004,334.25500059053303,111.41833353017768
88986,1,2,301.3845007508062,31.200000000000003,332.5845007508062,166.2922503754031
15211,1,4,273.72548082833276,58.800000000000004,332.5254808283328,83.1313702070832
5625,1,4,272.38567909433846,58.8,331.18567909433847,82.79641977358462
75117,2,4,273.3336693208869,57.0,330.3336693208869,82.58341733022172
64423,1,4,267.4193912340896,60.6,328.01939123408954,82.00484780852238
15269,1,4,261.8792222493875,62.400000000000006,324.27922224938754,81.06980556234689
94244,1,2,298.22400091063946,25.799999999999997,324.0240009106395,162.01200045531974
17607,1,2,292.7405930232515,31.200000000000003,323.9405930232515,161.97029651162575
55107,1,2,294.14502151765095,29.4,323.545021517651,161.7725107588255
6497,1,4,264.347752146285,58.8,323.14775214628503,80.78693803657126
435,1,2,291.7557644479737,31.200000000000003,322.9557644479737,161.47788222398685
7096,1,4,267.36764992074166,55.2,322.5676499207416,80.6419124801854
2085,2,5,251.4996502262441,70.80000000000001,322.2996502262441,64.45993004524883
13316,1,2,290.2229998074472,31.200000000000003,321.4229998074472,160.7114999037236
44949,1,4,267.29484775719357,53.4,320.6948477571936,80.1737119392984
67560,2,2,289.8279585051073,29.4,319.22795850510727,159.61397925255363
83670,1,4,259.91321915969877,58.8,318.7132191596988,79.6783047899247
85060,1,1,303.0499994754791,15.600000000000001,318.64999947547915,318.64999947547915
