user_id,total_items,order_frequency,return_frequency,total_sales,total_margin,avg_item_price,avg_item_margin,customer_return_rate,avg_basket_size,purchase_recency_days,customer_tenure_days,avg_order_value,total_orders,returned_items,total_margin_reversal,total_process_cost,total_profit_erosion,avg_erosion_per_return,cluster_id
10009,5,4,1,1041.090000152588,520.7662809640209,208.21800003051757,104.15325619280418,0.2,1.25,142.0,983.0,260.272500038147,1.0,1.0,35.44199990853667,13.799999999999999,49.24199990853667,49.24199990853667,0
10013,2,2,1,56.94999980926514,28.25284991774112,28.47499990463257,14.12642495887056,0.5,1.0,259.0,885.0,28.47499990463257,1.0,1.0,3.964849915237725,12.0,15.964849915237725,15.964849915237725,1
1002,1,1,1,78.0,36.269999988377094,78.0,36.269999988377094,1.0,1.0,105.0,1017.0,78.0,1.0,1.0,36.269999988377094,13.799999999999999,50.06999998837709,50.06999998837709,1
10020,3,3,1,171.48999977111816,79.75442974986804,57.16333325703939,26.584809916622678,0.3333333333333333,1.0,21.0,63.0,57.16333325703939,1.0,1.0,34.15999993681908,12.0,46.15999993681908,46.15999993681908,0
10038,3,2,2,54.079999923706055,23.880839858565334,18.02666664123535,7.960279952855111,0.6666666666666666,1.5,8.0,585.0,27.039999961853027,1.0,2.0,13.555839889112715,25.799999999999997,39.355839889112715,19.677919944556358,1
10047,1,1,1,20.0,9.44000005722046,20.0,9.44000005722046,1.0,1.0,531.0,2164.0,20.0,1.0,1.0,9.44000005722046,12.0,21.44000005722046,21.44000005722046,1
10051,4,3,2,171.0,94.01800006558187,42.75,23.50450001639547,0.5,1.3333333333333333,43.0,209.0,57.0,2.0,2.0,40.44900007545948,25.799999999999997,66.24900007545948,33.12450003772974,0
1007,3,2,2,108.93000221405762,57.71391123221294,36.310000738019205,19.23797041073765,0.6666666666666666,1.5,28.0,287.0,54.46500110702881,1.0,2.0,43.738571282564266,31.200000000000003,74.93857128256427,37.469285641282134,1
10071,2,1,2,38.989999771118164,18.759989808314934,19.494999885559082,9.379994904157467,1.0,2.0,272.0,1841.0,38.989999771118164,1.0,2.0,18.759989808314934,27.599999999999998,46.359989808314936,23.179994904157468,1
10074,3,1,3,166.1099967956543,84.03630814781278,55.369998931884766,28.01210271593759,1.0,3.0,256.0,1245.0,166.1099967956543,1.0,3.0,84.03630814781278,45.0,129.03630814781278,43.012102715937594,1
10076,1,1,1,29.950000762939453,16.861850459882618,29.950000762939453,16.861850459882618,1.0,1.0,85.0,234.0,29.950000762939453,1.0,1.0,16.861850459882618,13.799999999999999,30.661850459882615,30.661850459882615,1
10082,8,4,1,435.8000030517578,216.10404116368204,54.47500038146973,27.013005145460255,0.125,2.0,370.0,1752.0,108.95000076293945,1.0,1.0,14.039999954402449,13.799999999999999,27.839999954402447,27.839999954402447,0
10114,2,2,1,248.9699935913086,117.05207682300924,124.4849967956543,58.52603841150462,0.5,1.0,81.0,400.0,124.4849967956543,1.0,1.0,64.65731792153449,13.799999999999999,78.45731792153448,78.45731792153448,0
1013,3,3,1,132.9300022140576,58.42737073253923,44.3100007380192,19.475790244179745,0.3333333333333333,1.0,431.0,910.0,44.3100007380192,1.0,1.0,24.415930552368927,13.799999999999999,38.215930552368924,38.215930552368924,1
10134,2,2,1,177.93000412140626,83.60922218320052,88.96500206070313,41.80461109160026,0.5,1.0,168.0,958.0,88.96500206070313,1.0,1.0,66.32416135432959,12.0,78.32416135432959,78.32416135432959,1
10136,5,4,1,205.47999954376954,103.50561020024115,41.09599990875391,20.70112204004823,0.2,1.25,701.0,2346.0,51.369999885942384,1.0,1.0,15.605999959999998,13.799999999999999,29.405999959999995,29.405999959999995,0
10137,3,2,2,369.98999977111816,216.49535066771134,123.32999992370605,72.16511688923711,0.6666666666666666,1.5,1263.0,2290.0,184.99499988555908,1.0,2.0,202.55000072274953,29.4,231.95000072274954,115.97500036137477,0
10141,1,1,1,179.0,92.72200019471347,179.0,92.72200019471347,1.0,1.0,277.0,1457.0,179.0,1.0,1.0,92.72200019471347,15.600000000000001,108.32200019471347,108.32200019471347,1
10144,2,1,2,265.3699951171875,140.05451721869179,132.68499755859375,70.02725860934589,1.0,2.0,388.0,649.0,265.3699951171875,1.0,2.0,140.05451721869179,31.200000000000003,171.25451721869177,85.62725860934589,0
1015,2,2,1,83.49000168,37.04286071921291,41.74500084,18.521430359606455,0.5,1.0,1185.0,2292.0,41.74500084,1.0,1.0,18.55536076782795,13.799999999999999,32.355360767827946,32.355360767827946,1
10155,3,1,3,121.9799976348877,51.43048904428374,40.659999211629234,17.14349634809458,1.0,3.0,200.0,2214.0,121.9799976348877,1.0,3.0,51.43048904428374,39.599999999999994,91.03048904428374,30.34349634809458,1
10161,4,4,1,642.74000168,316.5216007224527,160.68500042,79.13040018061318,0.25,1.0,273.0,956.0,160.68500042,1.0,1.0,22.02935092953207,15.600000000000001,37.62935092953207,37.62935092953207,0
10180,2,2,1,537.06000042,277.2017387340495,268.53000021,138.60086936702476,0.5,1.0,264.0,1565.0,268.53000021,1.0,1.0,5.776740204794152,15.600000000000001,21.376740204794153,21.376740204794153,0
10191,5,2,1,144.9500026733545,70.73649133131912,28.9900005346709,14.147298266263823,0.2,2.5,233.0,1870.0,72.47500133667725,1.0,1.0,8.645819868557453,12.0,20.645819868557453,20.645819868557453,0
102,1,1,1,12.0,5.1239999905228615,12.0,5.1239999905228615,1.0,1.0,1265.0,2098.0,12.0,1.0,1.0,5.1239999905228615,12.0,17.12399999052286,17.12399999052286,1
10201,1,1,1,169.97000122070312,91.44386044905276,169.97000122070312,91.44386044905276,1.0,1.0,133.0,1215.0,169.97000122070312,1.0,1.0,91.44386044905276,15.600000000000001,107.04386044905277,107.04386044905277,1
