user_id,total_profit_erosion,rank,customer_share,cum_value,value_share,concentration_category
46358,729.2866983334079,1,8.341675008341675e-05,729.2866983334079,0.0008931853725648979,Vital Few
73088,660.5242295798172,2,0.0001668335001668335,1389.810927913225,0.0017021547140236312,Vital Few
9592,591.7980267587628,3,0.00025025025025025025,1981.6089546719877,0.002426952440653829,Vital Few
73720,586.2820191548036,4,0.000333667000333667,2567.890973826791,0.0031449945013462383,Vital Few
48158,575.1593480849878,5,0.00041708375041708373,3143.050321911779,0.0038494142004542216,Vital Few
7445,569.5591702095068,6,0.0005005005005005005,3712.6094921212857,0.004546975147066688,Vital Few
79918,563.9299971988424,7,0.0005839172505839172,4276.539489320128,0.005237641829730214,Vital Few
9525,560.0590266004897,8,0.000667334000667334,4836.5985159206175,0.005923567586329985,Vital Few
71151,555.7580009274184,9,0.0007507507507507507,5392.356516848036,0.006604225711932246,Vital Few
34216,551.0789986275137,10,0.0008341675008341675,5943.43551547555,0.007279153284074499,Vital Few
7008,549.2729983314872,11,0.0009175842509175843,6492.708513807038,0.007951868978431316,Vital Few
51888,548.369998183474,12,0.001001001001001001,7041.078511990512,0.008623478733895412,Vital Few
82057,546.5699981834739,13,0.0010844177510844178,7587.648510173986,0.009292883960366604,Vital Few
33992,546.5699981834739,14,0.0011678345011678344,8134.21850835746,0.009962289186837794,Vital Few
35702,536.1778324553279,15,0.0012512512512512512,8670.39634081279,0.010618966729616328,Vital Few
96886,521.285999085009,16,0.001334668001334668,9191.682339897798,0.011257405673271307,Vital Few
66346,509.54099854677924,17,0.0014180847514180847,9701.223338444577,0.011881460064588383,Vital Few
41676,509.54099854677924,18,0.0015015015015015015,10210.764336991357,0.01250551445590546,Vital Few
29086,499.48479030321835,19,0.0015849182515849183,10710.249127294575,0.013117252623538297,Vital Few
87346,498.7049984525888,20,0.001668335001668335,11208.954125747165,0.013728035750202719,Vital Few
46385,484.2719992061296,21,0.0017517517517517517,11693.226124953295,0.014321142229481915,Vital Few
41895,473.44199551219117,22,0.0018351685018351686,12166.668120465485,0.014900984788129679,Vital Few
2857,465.9865087675549,23,0.0019185852519185852,12632.65462923304,0.015471696326397014,Vital Few
81807,457.3032901165664,24,0.002002002002002002,13089.957919349607,0.01603177319395999,Vital Few
25297,455.29600099927774,25,0.0020854187520854186,13545.253920348885,0.01658939165760285,Vital Few
6068,454.64199785739186,26,0.0021688355021688356,13999.895918206277,0.017146209138530297,Vital Few
89546,452.5596509992376,27,0.0022522522522522522,14452.455569205515,0.017700476289445474,Vital Few
65729,444.5309999596327,28,0.002335669002335669,14896.986569165147,0.01824491044369913,Vital Few
38810,441.78400024883445,29,0.002419085752419086,15338.77056941398,0.018785980242116144,Vital Few
69837,435.59999899417164,30,0.0025025025025025025,15774.370568408152,0.01931947625716756,Vital Few
62121,435.52200098130857,31,0.002585919252585919,16209.892569389462,0.01985287674506301,Vital Few
63702,427.97367860743935,32,0.002669336002669336,16637.866247996903,0.02037703251322457,Vital Few
68453,422.8110000997782,33,0.0027527527527527527,17060.67724809668,0.020894865351135467,Vital Few
24163,413.8350005488843,34,0.0028361695028361693,17474.512248645562,0.021401704938351775,Vital Few
91086,412.37305100834817,35,0.0029195862529195864,17886.88529965391,0.021906754019930152,Vital Few
1065,410.33160626566,36,0.003003003003003003,18297.21690591957,0.02240930286588482,Vital Few
7368,410.08709775063545,37,0.0030864197530864196,18707.304003670204,0.02291155225288928,Vital Few
90094,409.88748023155745,38,0.0031698365031698366,19117.191483901763,0.023413557160666905,Vital Few
5596,408.57400070726874,39,0.0032532532532532532,19525.76548460903,0.02391395339972626,Vital Few
12195,407.50226420628803,40,0.00333667000333667,19933.267748815317,0.024413037042013856,Vital Few
52678,396.88171996664886,41,0.003420086753420087,20330.149468781965,0.024899113296692157,Vital Few
99871,392.47500007450583,42,0.0035035035035035035,20722.62446885647,0.025379792472611656,Vital Few
66557,390.3708001768633,43,0.00358692025358692,21112.995269033334,0.02585789455426381,Vital Few
66667,388.1236987932077,44,0.003670337003670337,21501.11896782654,0.02633324452472137,Vital Few
92059,387.20500165438,45,0.0037537537537537537,21888.32396948092,0.026807469331579906,Vital Few
88941,385.9379927363548,46,0.0038371705038371703,22274.261962217275,0.027280142384052856,Vital Few
83629,385.7531795353924,47,0.003920587253920587,22660.01514175267,0.027752589088714807,Vital Few
14031,383.8900008156896,48,0.004004004004004004,23043.905142568357,0.02822275388698423,Vital Few
81089,383.4729994511293,49,0.004087420754087421,23427.378142019486,0.028692407967699066,Vital Few
9058,380.9317571040765,50,0.004170837504170837,23808.309899123564,0.029158949691507195,Vital Few
88337,378.79501384316734,51,0.004254254254254255,24187.10491296673,0.029622874463943617,Vital Few
37332,377.71499859999994,52,0.004337671004337671,24564.81991156673,0.0300854765003154,Vital Few
71181,373.1981791307423,53,0.004421087754421088,24938.01809069747,0.03054254661475624,Vital Few
991,371.92634873184704,54,0.0045045045045045045,25309.944439429317,0.030998059069759065,Vital Few
84640,370.69200091660025,55,0.004587921254587921,25680.636440345916,0.03145205977168076,Vital Few
80059,370.3014778356072,56,0.004671338004671338,26050.937918181524,0.03190558218501665,Vital Few
31697,369.4662002585618,57,0.004754754754754755,26420.404118440085,0.032358081601888244,Vital Few
13457,367.77395012023226,58,0.004838171504838172,26788.178068560315,0.032808508455152506,Vital Few
19958,365.33227339582476,59,0.004921588254921588,27153.51034195614,0.03325594489334441,Vital Few
40641,364.4130286982299,60,0.005005005005005005,27517.923370654367,0.033702255497321074,Vital Few
19809,363.22455853101104,61,0.005088421755088422,27881.14792918538,0.034147110536330606,Vital Few
48130,362.62191871049436,62,0.005171838505171838,28243.769847895874,0.034591227499253134,Vital Few
53600,362.42874096458996,63,0.005255255255255256,28606.198588860465,0.03503510786998587,Vital Few
82864,361.83600135445596,64,0.005338672005338672,28968.03459021492,0.03547826228979872,Vital Few
29318,359.62993077410135,65,0.005422088755422089,29327.664520989023,0.03591871485041447,Vital Few
47474,358.82073362445874,66,0.0055055055055055055,29686.485254613483,0.036358176356265016,Vital Few
51686,358.54005795667183,67,0.005588922255588922,30045.025312570153,0.03679729410786709,Vital Few
73421,358.362000517942,68,0.005672339005672339,30403.387313088097,0.03723619378569913,Vital Few
78281,356.586500315501,69,0.005755755755755756,30759.973813403598,0.03767291894037939,Vital Few
90994,349.28998023143834,70,0.005839172505839173,31109.263793635037,0.03810070776724152,Vital Few
27761,348.61164668571803,71,0.005922589255922589,31457.875440320753,0.038527665813010085,Vital Few
6468,347.3749997600913,72,0.006006006006006006,31805.250440080843,0.03895310928988892,Vital Few
25159,345.5085579839864,73,0.0060894227560894226,32150.75899806483,0.039376266863984974,Vital Few
46187,345.46392787587615,74,0.006172839506172839,32496.222925940707,0.039799369777876986,Vital Few
6974,345.3919985162088,75,0.006256256256256257,32841.61492445692,0.0402223845971252,Vital Few
60466,344.26952237598016,76,0.006339673006339673,33185.8844468329,0.04064402467682065,Vital Few
40005,342.86639895195924,77,0.00642308975642309,33528.75084578486,0.04106394629747784,Vital Few
61138,342.4433015447583,78,0.0065065065065065065,33871.19414732962,0.041483349734523355,Vital Few
36577,341.19737886166763,79,0.006589923256589923,34212.391526191284,0.041901227242303433,Vital Few
70052,340.81499890834095,80,0.00667334000667334,34553.206525099624,0.04231863643469828,Vital Few
40843,340.5054994082345,81,0.006756756756756757,34893.712024507855,0.04273566657119241,Vital Few
59143,337.34289905409645,82,0.006840173506840174,35231.054923561955,0.04314882334981229,Vital Few
48294,334.860499679856,83,0.00692359025692359,35565.91542324181,0.04355893983876967,Vital Few
29194,334.25500059053303,84,0.007007007007007007,35900.170423832344,0.04396831474978395,Vital Few
