feature,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper
const,3.954763631337113,0.013185874448012551,299.92425962566307,0.0,3.9289197923143413,3.980607470359885
return_frequency,0.4597810389762222,0.006548456643697244,70.21212233553567,0.0,0.4469462998002536,0.4726157781521908
avg_order_value,0.3804557766037964,0.01125861857040894,33.79240305766726,2.5500676039701783e-250,0.35838928969012107,0.4025222635174718
dominant_return_category_socks,-0.3081045065162923,0.02932618578639579,-10.506122710960243,8.095371693167335e-26,-0.36558277446155846,-0.2506262385710261
dominant_return_category_socks & hosiery,-0.29529877680570543,0.0306287780812154,-9.641219640649389,5.354792453656509e-22,-0.35533007873535744,-0.23526747487605343
dominant_return_category_suits & sport coats,0.19863419706391688,0.03228127288771831,6.153233106848429,7.591908888694555e-10,0.1353640648288797,0.2619043292989541
dominant_return_category_tops & tees,-0.1945149184552748,0.019448237111761836,-10.001673536653703,1.4984305384019244e-23,-0.23263276275712327,-0.15639707415342632
dominant_return_category_leggings,-0.18522241915761528,0.03258629677757174,-5.684058560624749,1.3153520412709858e-08,-0.2490903872311895,-0.12135445108404105
avg_basket_size,-0.17783227077167754,0.0075270988696140686,-23.625605808044263,2.1031483879555175e-123,-0.19258511346419327,-0.16307942807916181
dominant_return_category_underwear,-0.16688571591422277,0.02327289485738302,-7.170818969316164,7.455043213595006e-13,-0.2124997516506809,-0.12127168017776462
dominant_return_category_plus,-0.15866817669015687,0.032317505628327546,-4.909666560128269,9.12313837052942e-07,-0.22200932379184934,-0.0953270295884644
dominant_return_category_clothing sets,-0.128198863206721,0.08276886508351129,-1.5488778670261119,0.12141108242256315,-0.29042285781165794,0.034025131398215946
dominant_return_category_outerwear & coats,0.11575965686823783,0.024427852008143687,4.738838962576252,2.1494623599632982e-06,0.06788194671260177,0.16363736702387388
dominant_return_category_pants,0.10896898422265701,0.01923901113927528,5.663959724011148,1.4791914024729514e-08,0.07126121529151255,0.14667675315380146
dominant_return_category_intimates,-0.10875247993152246,0.017119630236901193,-6.352501685293854,2.1184110465016167e-10,-0.1423063386244917,-0.0751986212385532
dominant_return_category_jumpsuits & rompers,-0.10498232244000132,0.07226472300434585,-1.4527464864659885,0.14629415486839192,-0.2466185768812823,0.036653932001279685
dominant_return_category_suits,0.10444913505631273,0.036899077776467795,2.8306706115816436,0.00464505302000562,0.03212827155169355,0.1767699985609319
dominant_return_category_sweaters,0.09347781789534299,0.020040172252756314,4.664521677576205,3.093357233263956e-06,0.05419980203596169,0.13275583375472427
dominant_return_category_blazers & jackets,0.08606434461199672,0.0267056939281835,3.2226964348291975,0.0012699005851306163,0.03372214633060706,0.1384065428933864
dominant_return_category_jeans,0.07595515768566649,0.018332928414277153,4.143100107591912,3.426422858325563e-05,0.04002327826253227,0.11188703710880071
dominant_return_category_dresses,0.0633688638723241,0.02255422771816409,2.8096224204249682,0.004959965170425668,0.019163389845607476,0.10757433789904072
dominant_return_category_maternity,0.04842239366044843,0.023478767850216565,2.062390751054757,0.03917054915236318,0.0024048542726470556,0.09443993304824981
dominant_return_category_pants & capris,-0.043081730862320866,0.026314101714196236,-1.6372107750529306,0.10158643640188089,-0.09465642250766919,0.008492960783027456
dominant_return_category_sleep & lounge,-0.025533910435586577,0.01967626809674172,-1.297700880575766,0.1943901409664911,-0.06409868725535482,0.013030866384181671
dominant_return_category_shorts,-0.02232444699556259,0.017479258718132103,-1.277196439251988,0.20153290379355404,-0.056583164559559265,0.011934270568434088
dominant_return_category_fashion hoodies & sweatshirts,0.013971495229637611,0.015658190941506035,0.8922802948201758,0.37224271348881444,-0.01671799507876554,0.044660985538040765
customer_return_rate,0.013602795370050207,0.003929419205022639,3.4617826860170386,0.0005366102520718823,0.005901275248045824,0.02130431549205459
dominant_return_category_active,0.009711006160237873,0.016870589915136434,0.5756174626427898,0.5648737750360648,-0.023354742471374187,0.04277675479184993
dominant_return_category_skirts,-0.009360788696446689,0.037919100331489444,-0.24686209890568364,0.805014949336642,-0.08368085967232682,0.06495928227943344
dominant_return_category_swim,0.003010998410229782,0.019096903823903246,0.15766945458776255,0.8747172710871869,-0.03441824530084582,0.040440242121305384
customer_tenure_days,0.0006508136432945108,0.004585056459728702,0.14194234008037046,0.8871255503307579,-0.008335731884856468,0.009637359171445491
user_gender_m,-0.0003088506523305774,0.00903041652860291,-0.03420115244433354,0.9727167475623439,-0.018008141813787498,0.017390440509126342
purchase_recency_days,0.00010400052657916782,0.00439549543232974,0.02366070632544021,0.9811232490338496,-0.008511012214997437,0.008719013268155771
