feature,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper
const,5.352525300863754,0.10255103054045495,52.193773896326256,0.0,5.151528974426996,5.553521627300513
dominant_return_category_MULTI-SENSORY ENVIRONMENTS,1.371914082261875,0.12804963587941443,10.713924118876992,8.756946598845549e-27,1.1209414077047548,1.622886756818995
dominant_return_category_MEDIA CENTER,1.3485638563287927,0.2714828768535761,4.967399314307911,6.785676941192733e-07,0.8164671952764609,1.8806605173811244
dominant_return_category_READING_EPS,1.3345585088246272,2.1078465807092037,0.6331383512625492,0.526643299745785,-2.7967448743013126,5.465861891950567
dominant_return_category_STORAGE,1.2985950824169072,0.1506252303122548,8.621364958080692,6.616067765428466e-18,1.003375055841837,1.5938151089919774
dominant_return_category_SCIENCE FURNITURE,1.1781072161614359,0.31633332506110834,3.72425894721605,0.0001958897815177236,0.5581052919318619,1.7981091403910099
dominant_return_category_FACILITIES AND GROUNDS,1.033591917569105,0.17037396955965176,6.0666070071650315,1.3064069678110472e-09,0.6996650733290641,1.367518761809146
dominant_return_category_OFFICE FURNITURE,1.0034219656494652,0.13109581619432767,7.654111281187339,1.946536660741733e-14,0.7464788873847001,1.2603650439142302
dominant_return_category_CAFETERIA,0.9744090316717599,0.2669639642295898,3.6499646477895618,0.00026227640330003457,0.45116927661172457,1.4976487867317951
customer_tenure_days,0.9186175512248761,0.020121126536047373,45.6543797177139,0.0,0.87918086788585,0.9580542345639022
dominant_return_category_MULTI-SENSORY,0.8192064339486417,0.2686272579483594,3.049602784934524,0.0022914420858746974,0.2927066831041063,1.345706184793177
dominant_return_category_PRESENTATION,0.7830043093821955,0.1317020840914128,5.945268936205458,2.7600333020410134e-09,0.5248729678741608,1.04113565089023
dominant_return_category_ART EQUIPMENT,0.7794517178574455,0.2191070686400592,3.5574010582830593,0.0003745421024519908,0.35000975456478395,1.208893681150107
dominant_return_category_CAREER TECHNICAL EDUCATION,-0.7476154796183546,0.19183849906353573,-3.8971086787472675,9.734794116743651e-05,-1.1236120286311055,-0.3716189306056037
dominant_return_category_PARTS,0.7318365869827681,0.8162353992700495,0.8965999117867733,0.36993244516365076,-0.8679553984932,2.3316285724587362
dominant_return_category_SAFETY-FURNITURE,0.6419111754895156,0.2232894785159274,2.874793652418905,0.004042916236556967,0.20427183947156774,1.0795505115074635
dominant_return_category_EARLY LEARNING ENVIRONMENTS,0.6050527684370519,0.11028276920689746,5.486376274265789,4.10262534514311e-08,0.38890251267619,0.8212030241979138
dominant_return_category_STUDENT WORKSTATIONS,0.5542019498340861,0.10935608982506753,5.067865454229575,4.0230159827432445e-07,0.33986795228682665,0.7685359473813456
dominant_return_category_DAILY LIVING AIDS,-0.4799896367072787,0.3216759424981768,-1.4921527329013706,0.13565911036634015,-1.1104628986966827,0.15048362528212533
dominant_return_category_CHARGES,0.46913485944974137,0.11765509696885143,3.9873738710524576,6.680870118971644e-05,0.2385351067932249,0.6997346121062579
dominant_return_category_BUSINESS EQUIPMENT_AV,0.38867528199945056,0.7725982726095137,0.5030755255078012,0.6149111732909058,-1.1255895068330548,1.902940070831956
avg_basket_size,0.319765003214676,0.049042759144777716,6.520126697413311,7.024802895327837e-11,0.22364296158843927,0.4158870448409127
dominant_return_category_SPECIAL NEEDS,0.2906978608058369,0.11233682297873072,2.5877343964131527,0.009660944129422071,0.07052173362987316,0.5108739879818007
dominant_return_category_ADHESIVES,-0.2734265450350376,0.11054250761660951,-2.4734968559185644,0.013379798140934818,-0.49008587872433684,-0.056767211345738366
avg_order_value,0.24521523770938544,0.026925383507590894,9.107214299854022,8.452432250824227e-20,0.19244245576457852,0.29798801965419236
dominant_return_category_FOSS/DELTA,0.22546071101671883,0.12190701209671259,1.8494482568226174,0.06439311279184078,-0.01347264215572655,0.4643940641891642
dominant_return_category_ELECTRONIC ACCESSORIES,0.15905725733923615,0.13905104034045582,1.1438767876155163,0.252674738848932,-0.11347777374088341,0.4315922884193557
dominant_return_category_SAFETY-SUPPLIES,-0.1583037313073309,0.24342458753266624,-0.6503193983479069,0.5154859293538401,-0.6354071558228747,0.3187996932082128
dominant_return_category_OFFICE/CLASSROOM SUPPLIES,-0.12602574484578688,0.10551964013130614,-1.19433448303049,0.23234715397092565,-0.33284043916477424,0.0807889494732005
dominant_return_category_SCIENCE CATEGORY,-0.12120386970568053,0.14387832471694736,-0.8424053445446045,0.3995611024536253,-0.40320020430685644,0.16079246489549537
dominant_return_category_PHYSICAL EDUCATION,0.10923898659235243,0.1070238852036957,1.0206972619657826,0.3073978921555456,-0.10052397389244033,0.3190019470771452
return_frequency,0.104290068684134,0.1873329721057781,0.5567096251761079,0.5777258395854548,-0.26287580976003766,0.47145594712830563
